"","name","count","meanstar","adjustment"
"1","#1 Sushi",32,4.375,0.675
"2","#1Brothers Pizza",32,2.78125,-0.919
"3","@ Dawn",32,4.125,0.425
"4","[m]eatery",37,3.97297297297297,0.273
"5","0109 Dessert & Chocolate",78,3.23076923076923,-0.469
"6","1 Eastern Super Buffet",51,3.2156862745098,-0.484
"7","100 Degrees Hot Pot",42,2.61904761904762,-1.081
"8","1000 Degrees Neapolitan Pizzeria",67,4.14925373134328,0.449
"9","100th Bomb Group",64,2.75,-0.95
"10","111 Bistro",41,4,0
"11","1130 The Restaurant",111,3.43243243243243,-0.268
"12","13 North Grille",113,3.98230088495575,0.282
"13","131 Main",344,3.96802325581395,0.268
"14","168 Sushi Asian Buffet",96,3.54166666666667,0
"15","168 Sushi Japan Buffet",138,3.28985507246377,-0.41
"16","17 South Booze & Bites",35,3.02857142857143,-0.671
"17","18 Asian and Sushi Bar",52,2.86538461538462,-0.835
"18","18 Degrees Neighborhood Grill",48,2.79166666666667,-0.908
"19","1847 At the Stamm House",34,3.94117647058824,0
"20","1855 Saloon and Grill",33,2.57575757575758,-1.124
"21","1897 Market",112,3.49107142857143,-0.209
"22","1900 Asian Cuisine",31,3.45161290322581,0
"23","1900 Mexican Grill",97,3.45360824742268,-0.246
"24","1923 Bourbon & Burlesque",41,3.5609756097561,0
"25","1947 Tavern",46,3.5,0
"26","19th Donut Hole",36,4.08333333333333,0.383
"27","2 Gals Kitchen",32,4.46875,0.769
"28","204 North Kitchen & Cocktails",43,3.55813953488372,0
"29","21 Lounge & Kitchen",40,3.875,0
"30","24 Carrots Juice Bar & Cafe",147,4.05442176870748,0.354
"31","24 Seven Cafe",111,2.90990990990991,-0.79
"32","25 Degrees",36,3.47222222222222,0
"33","259 Host",35,3.65714285714286,0
"34","28GO The Restaurant",63,4.09523809523809,0.395
"35","3 Amigos",118,2.66101694915254,-1.039
"36","3 Brothers Pizza",32,4.09375,0.394
"37","3 Palms Pizzeria",88,3.93181818181818,0.232
"38","3 Tomatoes and A Mozzarella",32,3.0625,-0.638
"39","300 East",275,4.14545454545455,0.445
"40","301 Mongolia",31,3.38709677419355,0
"41","3030",54,3.16666666666667,-0.533
"42","309 Dhaba Indian Excellence",65,3.01538461538462,-0.685
"43","32 Shea",284,4.1443661971831,0.444
"44","35 Steaks + Martinis",105,3.75238095238095,0
"45","360 Gourmet Burrito",75,1.76,-1.94
"46","360 Restaurant",310,3.57096774193548,-0.129
"47","369 Shanghai Dim Sum",37,3.54054054054054,0
"48","4&20 Bakery & Cafe",74,4.5,0.8
"49","40th Street Cafe",75,4.05333333333333,0.353
"50","416 Snack Bar",128,3.9453125,0.245
"51","43 North",50,3.96,0
"52","48th and Crepe",62,3.66129032258065,0
"53","4one4 Pizza",58,3.37931034482759,0
"54","5 & Diner",298,3.1744966442953,-0.526
"55","5 R Cha Thai Bistro",53,4.0188679245283,0.319
"56","50's Diner Omelet House",135,4.18518518518519,0.485
"57","500 Degrees New York Style Pizzeria",57,4.15789473684211,0.458
"58","521 BBQ & Grill",95,4.2,0.5
"59","55 Chicago",34,3.11764705882353,-0.582
"60","56 West",33,3.3030303030303,0
"61","5Church",267,3.58801498127341,0
"62","5th and Wine",314,3.85031847133758,0.15
"63","5th Avenue Cafe",107,3.79439252336449,0
"64","5th Elementt",46,2.93478260869565,-0.765
"65","61C Cafe",44,3.43181818181818,0
"66","7 Numbers Danforth",39,3.25641025641026,-0.444
"67","7 Numbers Restaurant",41,4.04878048780488,0.349
"68","7 Pizzeria Enoteca",32,3.34375,0
"69","7 Sinful Subs",34,4.67647058823529,0.976
"70","7 West Cafe",170,3.49411764705882,-0.206
"71","7th Street Public Market",86,4.22093023255814,0.521
"72","8 Noodle Bar",79,3.0506329113924,-0.649
"73","800 Degrees",234,3.70512820512821,0
"74","800 Degrees Neapolitan Pizzeria",137,3.66423357664234,0
"75","808 Hawaii Mixed Plate",182,4.34615384615385,0.646
"76","808 Sushi",236,3.6906779661017,0
"77","808 Tapas",144,3.77777777777778,0
"78","850 Degrees",57,4.3859649122807,0.686
"79","87 West 2",46,3.78260869565217,0
"80","88 China Bistro",37,3.48648648648649,0
"81","8th Ave Pizza",55,3.32727272727273,0
"82","9091",38,3.86842105263158,0
"83","92nd Street Cafe",63,3.0952380952381,-0.605
"84","A'Pizza Badamo",48,4.47916666666667,0.779
"85","A Bar and Kitchen",73,3.83561643835616,0
"86","A La Brasa Mexican Grill",39,4.35897435897436,0.659
"87","A La Kitchen",43,3.04651162790698,-0.653
"88","A Piece Of Havana",117,3.54700854700855,0
"89","A Pig In a Fur Coat",192,4.44270833333333,0.743
"90","A Taste of Buffalo",69,4.36231884057971,0.662
"91","A Thai Restaurant",35,3.85714285714286,0
"92","A Touch of European Cafe",63,4.55555555555556,0.856
"93","A&W",86,3.01162790697674,-0.688
"94","AAA Bar",60,3.66666666666667,0
"95","Aachi South Indian Kitchen",42,3.23809523809524,-0.462
"96","Abacus Inn",60,3.91666666666667,0
"97","Abacus Inn Chinese Restaurant-Arrowhead",73,3.23287671232877,-0.467
"98","Abay Ethiopian Cuisine",81,4.06172839506173,0.362
"99","Abc the Tavern",56,3.78571428571429,0
"100","Abe's of Scottsdale Deli Restaurant",41,3.46341463414634,0
"101","Above the Crust",92,4.07608695652174,0.376
"102","Abruzzo Pizza",87,4.08045977011494,0.38
"103","Abuela's Tacos",122,4.32786885245902,0.628
"104","Abuelo's",402,3.56467661691542,-0.135
"105","Abuelo's Mexican",47,3.57446808510638,0
"106","ABX American Burger Works",32,3.34375,-0.356
"107","Abyssinia Ethiopian Restaurant",45,3.91111111111111,0
"108","Abyssinia Restaurant and Cafe",58,4.39655172413793,0.697
"109","Acacia Cafe",121,4.12396694214876,0.424
"110","Academie Der Sch<U+00F6>nsten K¨¹nste",33,2.72727272727273,-0.973
"111","Aces & Ales",303,3.92409240924092,0.224
"112","Acme Burger Company",36,2.75,-0.95
"113","Acropolis Cafe & Grill",54,3.55555555555556,0
"114","Ada's Fish Fry",86,4.33720930232558,0.637
"115","Addiction Restaurant",34,3.26470588235294,-0.435
"116","Adega",79,3.75949367088608,0
"117","Adega Restaurante",69,4.10144927536232,0.401
"118","Adela's Italian",86,4.48837209302326,0.788
"119","Adobo Dragon",31,3.93548387096774,0
"120","Adrak Indian Restaurant & Bar",51,3.68627450980392,0
"121","Adrian's",100,4.76,1.06
"122","African Palace",40,3.875,0
"123","Aft Kitchen & Bar",77,4.27272727272727,0.573
"124","Afton Tavern",41,3.24390243902439,-0.456
"125","Against the Grain",103,2.84466019417476,-0.855
"126","Against the Grain Urban Tavern",57,2.82456140350877,-0.875
"127","Agave",101,3.1980198019802,-0.502
"128","Agave Y Aguacate",39,3.53846153846154,0
"129","Agio",60,4.63333333333333,0.933
"130","Ago",42,3.42857142857143,0
"131","Agra Fine Indian Cuisine",38,3,-0.7
"132","Agrikol",32,3.9375,0
"133","Ah-So",86,3.88372093023256,0
"134","Ah-So Sushi & Steak",236,2.67372881355932,-1.026
"135","Ah-So Teppanyaki & Sushi House of Japan",42,3.71428571428571,0
"136","Ah Hai Sushi & Grill",103,4.1747572815534,0.475
"137","Ah Sin",47,1.74468085106383,-1.955
"138","Ahi Mahi Fish Grill",46,4.04347826086957,0.343
"139","Ahi Revolving Sushi",103,2.88349514563107,-0.817
"140","Ahipoki Bowl",331,4.26888217522659,0.569
"141","Ai Sushi",31,3.41935483870968,0
"142","Aiello's",76,3.94736842105263,0.247
"143","Aiello's East Coast Italian",67,3.8955223880597,0
"144","Aiello's Pizza",90,3.9,0
"145","Aioli Gourmet Burgers",35,3.74285714285714,0
"146","Aioli Gourmet Burgers and Catering Food Truck",50,4.54,0.84
"147","Aj's Fine Foods",50,3.68,0
"148","AJ's Mongolian BBQ",36,2.88888888888889,-0.811
"149","AJ Bombers",53,3.28301886792453,-0.417
"150","Ajbani Moroccan Cuisine",36,4.22222222222222,0.522
"151","Aji Sai Japanese Restaurant",240,2.73333333333333,-0.967
"152","Aji Sai Plus Resto Lounge",34,2.20588235294118,-1.494
"153","Aji Spa",32,4.375,0.675
"154","Ajisen Ramen",222,3.2972972972973,-0.403
"155","AJK Chinese Cusine",34,3.94117647058824,0
"156","Ajo Al's",83,3.37349397590361,-0.327
"157","Ajo Al's Mexican Cafe",188,3.46276595744681,-0.237
"158","AKA-ONI Izakaya",54,3.61111111111111,0
"159","Aka Teppan",93,3.33333333333333,-0.367
"160","Akahana - Asian Bistro, Bar & Sushi",53,3.13207547169811,-0.568
"161","Akahana Asian Bistro",91,3.16483516483516,-0.535
"162","Akai Hana Sushi & Grill",77,3.51948051948052,0
"163","Akaihana Sushi & Grill",161,3.93167701863354,0.232
"164","Akane Sushi",64,3.40625,-0.294
"165","Akasaka Japanese Restaurant",32,3.53125,0
"166","Akita Sushi",205,3.51707317073171,-0.183
"167","Akropolis Gyro & Pizza",70,4.81428571428571,1.114
"168","Al's Beef",149,3.40268456375839,-0.297
"169","Al's Donuts & Cafe Burger",61,2.98360655737705,-0.716
"170","Al's Gyro's",35,4.45714285714286,0.757
"171","Al-Baghdadi",45,3.95555555555556,0
"172","Al-Hana",46,4,0.3
"173","Al Hamra",51,3.70588235294118,0
"174","Aladdin's Eatery",477,4.11111111111111,0.411
"175","Aladdin's Eatery - Mayfield Village",32,4.15625,0.456
"176","Aladdin's Eatery - Pittsburgh-Squirrel Hill",100,3.96,0.26
"177","Alaturka",66,4.34848484848485,0.648
"178","Albany Pizza",31,3.70967741935484,0
"179","Albert's Real Jamaican Foods",36,3.16666666666667,-0.533
"180","Alberto Italian Restaurant",45,4.06666666666667,0.367
"181","Albo Pizza",42,4.02380952380952,0
"182","Alchemy",143,4.18181818181818,0.482
"183","Alchemy Coffee",78,3.82051282051282,0
"184","Alchemy N' Ale",31,3.2258064516129,-0.474
"185","Alchemy Restaurant",32,3.9375,0
"186","Alder & Birch Cocktails/Dining",40,4.075,0.375
"187","Aldo's Restaurant",36,4.13888888888889,0.439
"188","Ale Asylum",120,3.8,0
"189","Alessia's Ristorante Italiano",125,4.28,0.58
"190","Alex",72,4.41666666666667,0.717
"191","Alexander's Italian Bistro",61,3.75409836065574,0
"192","Alexander's Pizza",44,3.36363636363636,0
"193","Alexander Michael's",156,4.28846153846154,0.588
"194","Alexandre et Fils",36,2.80555555555556,-0.894
"195","Alexandros Take-Out",67,3.62686567164179,0
"196","Alexi's Family Restaurant",45,3.37777777777778,0
"197","Alexi's Grill",76,3.86842105263158,0
"198","Alfonso's Mexican Food",37,3.64864864864865,0
"199","Algobertos",49,3.97959183673469,0
"200","Ali's West Indian Roti Shop",31,4.16129032258065,0.461
"201","Ali Baba",87,3.6551724137931,0
"202","Ali Baba's Middle Eastern Cuisine",93,3.32258064516129,-0.377
"203","Ali Baba's Restaurant & Bakery",52,3.88461538461538,0
"204","Ali Baba Cuisine",64,3.09375,-0.606
"205","Alice Cooper's Town",267,3.42322097378277,-0.277
"206","Alice Fazooli's",125,2.976,-0.724
"207","Alihan's Mediterranean Cuisine",33,3.90909090909091,0
"208","Alioli Ristorante",44,3.90909090909091,0
"209","Aliz¨¦",232,4.20258620689655,0.503
"210","All-American Bar & Grille",187,3.05347593582888,-0.647
"211","All American Modern Sports Grill",43,3.74418604651163,0
"212","All American Pub",76,2.88157894736842,-0.818
"213","All American Sports Grill",74,3.40540540540541,-0.295
"214","All India",61,3.83606557377049,0
"215","All Pierogi Euro Kitchen & Euro Market",110,4.21818181818182,0.518
"216","All Star Wings & Ribs",92,3.43478260869565,-0.265
"217","All<U+00F4> Mon Coco",57,3.36842105263158,-0.332
"218","Alla Famiglia",77,4.41558441558442,0.716
"219","Allegro",172,3.2906976744186,-0.409
"220","Allen's",79,3.34177215189873,-0.358
