"","city","city_idx"
"1","Belmont",5
"2","Boulder City",7
"3","Carnegie",8
"4","Cleveland",11
"5","Cramerton",13
"6","Davidson",14
"7","East York",17
"8","Edinburgh",18
"9","Fairview",20
"10","Gilbert",23
"11","Henderson",26
"12","Lakewood",29
"13","Las  Vegas",30
"14","Las Vegas",31
"15","Madison",32
"16","Mentor-on-the-Lake",35
"17","Mount Lebanon",39
"18","Parma",46
"19","Phoenix",47
"20","Pittsburgh",48
"21","Port Credit",49
"22","Presto",50
"23","Saint-Lambert",54
"24","Scottsdale",57
"25","Stockbridge",62
"26","Stoughton",63
"27","Valley View",66
